,s,eta_consumer,C0-P0_estimated_cost,C0-P0_risk_group,C0-P0_price,C0-P0_coverage,C0-P0_ce_outside,ce_no_insurance,C0-P0_welfare,C0-PA_estimated_cost,C0-PA_risk_group,C0-PA_price,C0-PA_coverage,C0-PA_ce_outside,C0-PA_welfare,C0-POB_estimated_cost,C0-POB_risk_group,C0-POB_price,C0-POB_coverage,C0-POB_ce_outside,C0-POB_welfare,C0-PDP_estimated_cost,C0-PDP_risk_group,C0-PDP_price,C0-PDP_coverage,C0-PDP_ce_outside,C0-PDP_welfare,C0-PAF_estimated_cost,C0-PAF_risk_group,C0-PAF_price,C0-PAF_coverage,C0-PAF_ce_outside,C0-PAF_welfare
29,1,220.26515732002568,311.7952,1,476.21002,0.7644365,-38700.277,-38480.023,-38665.44,303.06677,1,438.1001,0.8966693,-38700.277,-38625.242,294.72256,1,458.74457,0.8358865,-38700.277,-38647.594,305.26608,1,500.24252,0.63560337,-38700.277,-38686.594,303.58542,1,478.42755,0.7539662,-38700.277,-38667.594
31,0,177.6941049315191,449.08963,0,581.5704,0.7089593,-34754.64,-34576.97,-34730.316,435.74316,0,581.78973,0.7077867,-34754.64,-34730.508,419.25995,0,577.83374,0.7285267,-34754.64,-34726.926,444.41974,0,566.00867,0.7848011,-34754.64,-34715.5,450.19962,0,541.60345,0.8728456,-34754.64,-34689.81
41,1,185.43103919024594,266.11813,1,417.21094,0.7439011,-31509.309,-31323.9,-31478.635,263.54935,1,668.67865,0.0042414325,-31509.309,-31510.201,273.0989,1,438.0669,0.62885827,-31509.309,-31496.492,266.83148,1,445.10153,0.5855127,-31509.309,-31501.492,264.4983,1,420.8958,0.7253625,-31509.309,-31482.07
45,0,251.87291166094525,128.03308,2,322.31827,0.7995038,-48846.22,-48594.348,-48803.168,124.81499,2,380.3771,0.47298586,-48846.22,-48848.21,119.137856,2,290.8413,0.8994286,-48846.22,-48769.473,121.85812,2,308.2422,0.8512388,-48846.22,-48788.4,133.14401,2,318.87692,0.8132882,-48846.22,-48799.625
46,1,242.8119668122349,115.82938,2,309.24957,0.79884416,-39852.633,-39609.824,-39809.797,115.50987,2,283.08325,0.88609105,-39852.633,-39781.93,114.022316,2,285.94955,0.8784362,-39852.633,-39785.066,121.67257,2,334.71774,0.6735529,-39852.633,-39833.67,119.464386,2,316.6893,0.7663662,-39852.633,-39817.24
57,1,210.3044879449352,323.29715,1,494.31985,0.7738874,-35780.19,-35569.902,-35743.395,334.9594,1,422.11948,0.95670176,-35780.19,-35665.633,337.99347,1,500.1225,0.74652445,-35780.19,-35749.03,313.403,1,516.82446,0.6566024,-35780.19,-35763.75,320.92508,1,497.74854,0.7579685,-35780.19,-35746.754
61,1,240.95071235424115,56.0281,3,252.69176,0.80188185,-39701.914,-39460.965,-39658.258,56.935917,3,194.62338,0.9472157,-39701.914,-39595.35,61.36918,3,235.59987,0.862556,-39701.914,-39640.21,56.842575,3,276.72208,0.685942,-39701.914,-39681.055,58.395733,3,259.0002,0.7748976,-39701.914,-39664.617
64,0,196.50811538072787,536.364,0,704.4844,0.7709683,-38863.324,-38666.836,-38827.316,535.0319,0,594.8553,0.9830014,-38863.324,-38709.633,546.7283,0,699.72565,0.79211265,-38863.324,-38822.547,532.7493,0,690.03204,0.83051866,-38863.324,-38812.523,525.11536,0,652.1946,0.9289934,-38863.324,-38771.34
70,0,360.8738366224421,27.164053,3,317.4801,0.8661421,-37284.105,-36923.24,-37221.29,27.144663,3,159.09398,0.9973552,-37284.105,-37053.81,29.19264,3,204.83098,0.9915107,-37284.105,-37100.5,25.659014,3,305.1466,0.89885086,-37284.105,-37207.83,23.968092,3,313.3885,0.87787914,-37284.105,-37216.844
71,0,228.52884500123096,876.327,0,1036.3438,0.7601291,-48716.457,-48487.95,-48682.82,890.5511,0,809.87164,0.9991255,-48716.457,-48445.97,850.9328,0,990.6219,0.91248554,-48716.457,-48634.355,872.8317,0,1019.7803,0.82996595,-48716.457,-48665.97,858.3603,0,944.7574,0.9717491,-48716.457,-48584.445
72,1,310.2735859857104,147.80508,2,391.6371,0.8409291,-36133.324,-35823.07,-36079.066,139.74039,2,292.60962,0.98543954,-36133.324,-35972.15,141.00316,2,311.75006,0.97639763,-36133.324,-35992.32,151.5537,2,414.0698,0.74776983,-36133.324,-36101.844,142.91957,2,397.2283,0.82068515,-36133.324,-36084.957
76,0,176.77379710664715,243.60483,1,389.46094,0.73391944,-37533.227,-37356.46,-37504.344,237.8868,1,481.4631,0.20438237,-37533.227,-37543.99,242.33311,1,408.64703,0.6271934,-37533.227,-37520.574,241.90736,1,375.2702,0.7990468,-37533.227,-37490.44,242.94624,1,387.35995,0.7443732,-37533.227,-37502.367
93,1,263.94946775893663,23.131065,3,233.8984,0.8150519,-39761.535,-39497.586,-39714.44,26.264774,3,126.30744,0.9857889,-39761.535,-39598.52,24.502747,3,200.34625,0.9124163,-39761.535,-39678.203,23.637957,3,257.13144,0.70826966,-39761.535,-39737.07,29.08974,3,240.73041,0.7871547,-39761.535,-39721.434
107,0,185.5386427357188,164.64026,2,309.24222,0.731246,-34486.883,-34301.35,-34458.453,167.1346,2,332.8439,0.59712464,-34486.883,-34477.76,166.68576,2,336.30908,0.57546896,-34486.883,-34480.086,165.79912,2,295.8214,0.7935188,-34486.883,-34445.383,158.83897,2,303.0178,0.76155627,-34486.883,-34452.53
129,0,184.35759334107664,403.94046,0,561.3633,0.75493807,-34743.504,-34559.168,-34710.758,421.7619,0,617.1978,0.41990063,-34743.504,-34748.73,420.53607,0,579.054,0.6607137,-34743.504,-34726.53,432.91055,0,554.7353,0.785305,-34743.504,-34704.234,406.07523,0,523.52563,0.891423,-34743.504,-34671.11
145,0,175.99930518021384,402.32904,0,556.21216,0.7489375,-37702.824,-37526.848,-37671.22,412.32086,0,421.88394,0.98968506,-37702.824,-37528.117,396.12064,0,555.7067,0.75139636,-37702.824,-37670.734,407.39597,0,543.6402,0.8051111,-37702.824,-37658.72,406.90573,0,518.9719,0.88661057,-37702.824,-37632.387
152,1,229.8039841941487,390.94632,0,569.66406,0.78379446,-39137.203,-38907.418,-39098.22,403.29492,0,500.46902,0.95592946,-39137.203,-39023.52,396.3152,0,555.89276,0.8380781,-39137.203,-39083.992,396.92032,0,596.06854,0.6466461,-39137.203,-39122.12,396.37125,0,611.34314,0.551957,-39137.203,-39132.76
162,1,176.77276252506817,73.53635,3,214.29205,0.723307,-31586.418,-31409.65,-31559.365,71.795586,3,250.6772,0.5065446,-31586.418,-31585.902,81.827446,3,255.16313,0.4777333,-31586.418,-31588.074,71.80053,3,489.7063,0.0021469297,-31586.418,-31586.928,70.70788,3,219.99933,0.69303674,-31586.418,-31564.453
166,1,203.0531211709225,103.71226,2,258.13315,0.74797475,-34258.2,-34055.152,-34226.555,103.94298,2,236.22758,0.8389666,-34258.2,-34204.324,97.418144,2,270.07178,0.6859024,-34258.2,-34237.367,99.91703,2,284.252,0.6026521,-34258.2,-34248.44,105.02208,2,265.64795,0.7098866,-34258.2,-34233.496
167,1,188.01906722662454,153.31856,2,303.6797,0.7419167,-28989.768,-28801.76,-28959.39,157.03847,2,431.17633,0.0964702,-28989.768,-28998.117,157.87698,2,327.88568,0.6063268,-28989.768,-28979.617,153.61261,2,331.65717,0.5828961,-28989.768,-28982.207,149.93448,2,310.06277,0.70920414,-28989.768,-28965.254
174,1,173.85518086272504,338.13605,0,465.05664,0.69572157,-30726.826,-30552.988,-30704.617,323.6879,1,591.3846,0.079385646,-30726.826,-30734.32,316.28696,1,479.3656,0.6121749,-30726.826,-30716.043,323.1686,1,779.5089,0.0006377192,-30726.826,-30727.006,331.10275,1,467.45007,0.6824702,-30726.826,-30706.672
194,1,182.7256515657105,102.52341,2,245.3867,0.72767866,-31334.465,-31151.746,-31306.656,105.10899,2,216.25006,0.8495952,-31334.465,-31277.242,98.26053,2,270.87732,0.5811378,-31334.465,-31327.07,92.38317,2,270.64865,0.5825445,-31334.465,-31326.918,102.699196,2,252.80907,0.68826383,-31334.465,-31313.27
199,0,189.30737329701338,96.23012,2,245.33574,0.7386183,-40244.79,-40055.49,-40214.902,91.06175,2,371.69824,0.09897865,-40244.79,-40253.293,99.08887,2,271.6694,0.58972096,-40244.79,-40236.46,90.13231,2,230.30763,0.80600595,-40244.79,-40200.066,92.52287,2,239.71439,0.7654814,-40244.79,-40209.516
214,0,207.1257981592247,158.81004,2,313.58942,0.74847925,-43607.86,-43400.74,-43576.098,144.5896,2,394.7321,0.2697928,-43607.86,-43618.305,150.94064,2,321.2528,0.70965934,-43607.86,-43583.188,150.0027,2,298.04807,0.8160337,-43607.86,-43560.543,149.40218,2,306.70157,0.78030163,-43607.86,-43569.375
219,0,183.6950840531241,395.26392,0,541.2993,0.7354385,-36744.598,-36560.926,-36715.562,404.36047,0,523.1453,0.8164074,-36744.598,-36697.547,388.31046,0,548.2382,0.69905543,-36744.598,-36721.85,410.0257,0,531.1094,0.7834801,-36744.598,-36705.688,391.4172,0,504.42038,0.87832344,-36744.598,-36677.527
221,1,336.1130384774951,55.09726,3,325.09573,0.856194,-33481.035,-33144.93,-33421.785,52.195393,3,208.84004,0.9916125,-33481.035,-33297.14,58.261322,3,232.62798,0.9846626,-33481.035,-33321.844,53.849197,3,345.97147,0.7766557,-33481.035,-33443.5,54.200317,3,330.42896,0.83844787,-33481.035,-33427.484
225,1,182.34798249123952,166.28429,2,301.94537,0.71404207,-28151.072,-27968.734,-28125.742,157.67055,2,414.44937,0.120169334,-28151.072,-28160.328,156.9327,2,326.9827,0.56695276,-28151.072,-28145.152,161.18155,2,601.2914,0.0010662489,-28151.072,-28151.354,160.36946,2,307.8378,0.6820524,-28151.072,-28130.89
227,0,184.35303232017307,334.31815,1,465.7438,0.70486736,-43003.375,-42819.035,-42979.58,329.80344,1,460.11847,0.73411393,-43003.375,-42974.47,325.74368,1,488.40857,0.5710751,-43003.375,-42997.04,319.271,1,447.53522,0.7924989,-43003.375,-42962.195,315.78958,1,458.6201,0.74159014,-43003.375,-42973.062
241,0,174.28156879378736,584.66864,0,731.01575,0.73703545,-39231.203,-39056.95,-39201.984,597.7081,0,889.0341,0.04377505,-39231.203,-39236.387,591.8596,0,742.88257,0.6731602,-39231.203,-39212.496,598.3606,0,720.2392,0.78762597,-39231.203,-39191.49,609.9966,0,677.7049,0.9179681,-39231.203,-39145.875
248,1,196.31665741203025,29.47749,3,184.8117,0.74905556,-31278.273,-31081.959,-31246.365,30.575872,3,109.62987,0.9534676,-31278.273,-31165.97,27.068235,3,202.79951,0.65295357,-31278.273,-31262.203,31.687637,3,213.01323,0.5914045,-31278.273,-31269.76,28.518763,3,190.82436,0.7189558,-31278.273,-31251.973
250,0,165.94059311134174,792.84656,0,912.53125,0.67976815,-40756.285,-40590.38,-40736.68,760.8748,0,1453.2556,1.4463741e-06,-40756.285,-40756.285,749.80695,0,893.92004,0.7752032,-40756.285,-40719.5,741.153,0,883.88226,0.8175367,-40756.285,-40709.29,766.6787,0,835.9334,0.93984073,-40756.285,-40657.195
254,1,173.7520241290255,303.95804,1,450.93018,0.736975,-31825.46,-31651.734,-31796.125,307.14954,1,668.58716,0.009761616,-31825.46,-31827.197,304.34106,1,467.94226,0.6434297,-31825.46,-31810.793,313.02582,1,483.24747,0.548332,-31825.46,-31821.354,307.5328,1,455.89575,0.711346,-31825.46,-31800.676
271,0,158.0,503.89783,0,633.6327,0.7032152,-35067.555,-34909.586,-35044.203,550.3417,0,593.0278,0.87173635,-35067.555,-35003.22,519.3734,0,673.56744,0.4563222,-35067.555,-35070.63,497.18945,0,617.3563,0.7833409,-35067.555,-35028.797,524.2044,0,590.43097,0.87907755,-35067.555,-35000.4
288,0,210.4491530490361,65.12909,3,227.63284,0.75998044,-42758.59,-42548.145,-42724.445,60.89856,3,196.82922,0.8745835,-42758.59,-42692.35,66.01677,3,240.04413,0.6972689,-42758.59,-42735.918,67.17097,3,214.81142,0.81476426,-42758.59,-42711.53,59.906425,3,222.31999,0.7839537,-42758.59,-42719.203
320,0,232.15948392887924,96.14645,2,280.9614,0.7890884,-47192.977,-46960.812,-47152.414,97.98741,2,308.71033,0.64736515,-47192.977,-47177.656,100.22547,2,272.7563,0.8220099,-47192.977,-47143.973,95.69501,2,267.87976,0.8395769,-47192.977,-47138.832,96.92545,2,276.6811,0.8067867,-47192.977,-47148.043
326,0,259.0869289095395,68.240074,3,274.44144,0.81089574,-48855.55,-48596.46,-48809.543,74.423996,3,243.85341,0.9037872,-48855.55,-48776.625,71.71694,3,245.49493,0.9000662,-48855.55,-48778.43,63.59983,3,260.8764,0.85859936,-48855.55,-48795.188,77.8199,3,272.29102,0.8192026,-48855.55,-48807.31
329,0,176.30668074858664,115.57135,2,256.64648,0.7238868,-38754.71,-38578.41,-38727.547,118.53758,2,250.78421,0.75293523,-38754.71,-38722.043,121.79457,2,293.38177,0.5050874,-38754.71,-38754.312,108.87442,2,241.19524,0.795831,-38754.71,-38712.547,116.53111,2,252.11552,0.7465206,-38754.71,-38723.312
358,0,183.52718470910565,304.7929,1,451.26697,0.7355695,-36654.688,-36471.176,-36625.56,312.82764,1,435.62286,0.80642277,-36654.688,-36610.137,318.63684,1,481.61267,0.5595251,-36654.688,-36649.508,297.6011,1,435.71832,0.8060424,-36654.688,-36610.23,309.89975,1,450.67242,0.7385415,-36654.688,-36625.004
360,1,243.9039897744207,159.90935,2,358.24298,0.8040651,-39902.836,-39658.94,-39858.746,169.05362,2,271.42133,0.9745118,-39902.836,-39764.79,170.49924,2,339.95575,0.86789876,-39902.836,-39839.375,162.79863,2,382.59537,0.6867918,-39902.836,-39881.9,173.03723,2,367.42847,0.76416314,-39902.836,-39867.95
371,0,274.03576617141977,111.78877,2,344.92966,0.833003,-48720.332,-48446.3,-48668.242,118.394905,2,288.8439,0.95463693,-48720.332,-48607.098,131.04843,2,302.2308,0.9372087,-48720.332,-48621.71,121.69374,2,333.97037,0.8685779,-48720.332,-48656.5,117.221176,2,341.51022,0.8448451,-48720.332,-48664.617
373,0,221.83434015355354,75.28732,3,245.44533,0.7707879,-45574.5,-45352.664,-45538.06,77.14054,3,250.50299,0.7470952,-45574.5,-45542.953,68.0059,3,241.94624,0.78625554,-45574.5,-45534.58,72.621864,3,231.70285,0.8270866,-45574.5,-45524.03,69.663734,3,240.14316,0.79393286,-45574.5,-45532.754
376,0,248.1044856595774,87.44018,2,290.31754,0.8078777,-48521.35,-48273.25,-48476.15,89.19541,2,308.8749,0.7231331,-48521.35,-48494.316,84.71951,2,257.92868,0.9061038,-48521.35,-48441.31,92.050354,2,278.3766,0.8510159,-48521.35,-48463.58,92.279396,2,286.8647,0.82125384,-48521.35,-48472.57
381,0,171.4857389226882,1301.0947,0,1468.0938,0.7732264,-42678.46,-42507.023,-42642.566,1295.6725,0,1424.6075,0.914887,-42678.46,-42596.2,1269.059,0,1390.4559,0.9635909,-42678.46,-42558.9,1324.3586,0,1422.8998,0.91836137,-42678.46,-42594.3,1260.4774,0,1319.0854,0.9942677,-42678.46,-42484.13
384,1,213.405296587637,55.533203,3,224.25392,0.7690517,-35509.426,-35296.023,-35473.402,53.29906,3,192.71817,0.8820453,-35509.426,-35440.293,56.34739,3,230.79778,0.7378925,-35509.426,-35479.688,58.19448,3,250.9744,0.6264457,-35509.426,-35496.82,55.68738,3,230.3713,0.7399895,-35509.426,-35479.293
387,0,182.28831779508297,156.43933,2,311.69537,0.74932104,-41518.227,-41335.94,-41486.31,160.33925,2,313.1397,0.74229807,-41518.227,-41487.68,172.50417,2,341.87296,0.5791677,-41518.227,-41511.03,159.29819,2,298.86713,0.80607885,-41518.227,-41473.543,171.58934,2,310.6637,0.754298,-41518.227,-41485.312
391,0,213.78592208317812,181.24258,1,346.32034,0.764324,-43643.902,-43430.125,-43608.938,172.08954,2,333.15277,0.8198015,-43643.902,-43595.605,173.98593,2,343.2899,0.77806956,-43643.902,-43605.95,168.08101,2,330.14355,0.83095974,-43643.902,-43592.445,171.4436,2,339.553,0.79423416,-43643.902,-43602.195
397,0,175.20063785961764,235.14984,1,390.85165,0.75059575,-40248.535,-40073.348,-40216.438,261.0059,1,475.20508,0.25487918,-40248.535,-40259.137,240.99321,1,407.36575,0.6629625,-40248.535,-40231.13,240.66328,1,378.5803,0.8049983,-40248.535,-40204.23,245.07512,1,391.44153,0.7477606,-40248.535,-40216.996
409,0,172.39013660708696,577.23553,0,724.1187,0.73779297,-40578.863,-40406.504,-40549.484,566.7964,0,561.5567,0.99476475,-40578.863,-40377.535,562.9187,0,715.20776,0.78003806,-40578.863,-40540.848,581.47327,0,710.9728,0.7983447,-40578.863,-40536.574,583.88043,0,670.5632,0.9186644,-40578.863,-40493.08
411,0,191.6726801162179,72.22892,3,217.65799,0.7319366,-37405.906,-37214.24,-37377.26,67.547386,3,202.00406,0.80311334,-37405.906,-37361.902,71.66511,3,245.44537,0.5723233,-37405.906,-37399.41,66.56124,3,202.64731,0.8004975,-37405.906,-37362.562,70.015015,3,212.83209,0.75550586,-37405.906,-37372.69
418,1,196.60979639753677,52.454876,3,206.64453,0.7473674,-31299.725,-31103.117,-31268.17,58.202198,3,146.5528,0.93249667,-31299.725,-31204.324,56.93053,3,231.35541,0.6106298,-31299.725,-31289.031,58.34296,3,236.35692,0.57966715,-31299.725,-31292.477,52.702694,3,212.95267,0.71557105,-31299.725,-31274.027
461,0,252.69360096040492,164.16557,2,350.03906,0.79055434,-48871.77,-48619.082,-48830.914,153.65088,2,400.0555,0.5106738,-48871.77,-48870.92,161.58667,2,331.43307,0.8588726,-48871.77,-48811.402,161.51308,2,336.46375,0.84247637,-48871.77,-48816.793,152.3438,2,343.2431,0.81796813,-48871.77,-48823.94
484,1,187.4063714933617,1021.8373,0,1143.4752,0.6890613,-32224.424,-32037.078,-32203.695,988.37933,0,772.4133,0.99997383,-32224.424,-31823.285,998.63715,0,1131.8645,0.750762,-32224.424,-32193.123,1004.5127,0,1462.2332,0.00046445514,-32224.424,-32224.559,1004.74945,0,1185.8665,0.41925827,-32224.424,-32229.586
536,1,182.72780189534538,557.61285,0,711.8632,0.7517742,-30217.783,-30035.092,-30185.91,563.13635,0,791.3624,0.27467614,-30217.783,-30227.977,561.41656,0,713.77136,0.74236447,-30217.783,-30187.727,561.1798,0,739.81433,0.59336495,-30217.783,-30209.207,583.38965,0,755.9204,0.4892042,-30217.783,-30218.594
544,0,289.8014244059383,55.967,3,277.5234,0.824053,-47885.58,-47595.785,-47836.008,54.56194,3,223.41896,0.94935596,-47885.58,-47777.11,49.706528,3,224.44743,0.94807506,-47885.58,-47778.234,48.319237,3,263.66675,0.86981606,-47885.58,-47821.207,54.1137,3,273.36026,0.83899665,-47885.58,-47831.617
548,1,167.82945877505412,483.6769,0,616.2146,0.7100396,-30880.459,-30712.662,-30856.035,468.9961,0,783.3336,0.030328583,-30880.459,-30884.484,483.18298,0,638.96027,0.5752963,-30880.459,-30873.754,456.9733,0,635.98474,0.59407943,-30880.459,-30871.771,476.49277,0,658.9136,0.44618744,-30880.459,-30884.16
551,0,192.8798005762801,209.55124,1,352.15955,0.7276121,-37539.414,-37346.543,-37511.656,203.49052,1,353.96405,0.7182873,-37539.414,-37513.312,187.7224,1,356.4254,0.7053105,-37539.414,-37515.516,205.26685,1,337.2729,0.7966884,-37539.414,-37497.164,204.3483,1,348.83966,0.7442,-37539.414,-37508.555
586,0,248.02663883205207,135.97536,2,328.82034,0.7980257,-48735.79,-48487.76,-48693.1,129.52522,2,335.6462,0.7683262,-48735.79,-48699.934,131.64284,2,302.79922,0.8851416,-48735.79,-48665.406,144.26962,2,317.48883,0.84091175,-48735.79,-48681.277,125.82919,2,322.4677,0.82305247,-48735.79,-48686.53
593,1,179.75967005201667,144.09163,2,279.17773,0.7121164,-33851.637,-33671.883,-33826.57,147.98085,2,274.5791,0.73573476,-33851.637,-33822.35,142.45729,2,313.14056,0.50797224,-33851.637,-33851.008,134.41254,2,575.04486,0.0011866355,-33851.637,-33851.95,140.8838,2,285.83588,0.6757928,-33851.637,-33832.344
595,0,161.6401315810612,937.49066,0,1062.5312,0.6958792,-35494.72,-35333.133,-35472.82,899.26874,0,1229.7928,0.02711343,-35494.72,-35498.402,895.3597,0,1033.1052,0.83211225,-35494.72,-35444.06,920.2854,0,1041.2705,0.80000716,-35494.72,-35452.54,916.65656,0,967.6183,0.96508193,-35494.72,-35372.76
597,0,201.81054273724425,82.87637,3,245.52342,0.7603842,-40249.496,-40047.684,-40215.29,83.213776,3,283.72382,0.5434234,-40249.496,-40245.812,90.379715,2,263.34125,0.66761416,-40249.496,-40231.36,89.414085,2,233.71797,0.8111618,-40249.496,-40203.434,85.81549,2,241.63129,0.77809787,-40249.496,-40211.47
599,0,251.6761037228747,278.39532,1,474.94525,0.8024328,-49045.555,-48793.887,-49001.902,278.17416,1,588.96466,0.1767987,-49045.555,-49056.094,270.2729,1,435.3645,0.91836077,-49045.555,-48959.25,266.43518,1,459.7091,0.8573831,-49045.555,-48985.85,269.85272,1,471.53677,0.8159727,-49045.555,-48998.387
600,0,219.42923851986544,54.646053,3,222.52084,0.76756144,-45550.89,-45331.46,-45515.125,57.528717,3,209.77205,0.8207239,-45550.89,-45502.188,51.864788,3,226.51128,0.7488187,-45550.89,-45518.984,44.38844,3,207.14296,0.83042395,-45550.89,-45499.426,54.546852,3,218.41675,0.78579336,-45550.89,-45511.055
604,0,178.1437325883906,331.2981,1,487.41785,0.7522629,-35689.688,-35511.562,-35657.39,349.78845,0,613.28455,0.104393125,-35689.688,-35698.344,330.7986,1,493.24237,0.72310615,-35689.688,-35662.86,340.01196,0,475.82968,0.8037894,-35689.688,-35645.867,339.28275,0,456.0185,0.8723725,-35689.688,-35624.848
608,1,276.43081512360317,103.64289,2,320.82785,0.82093674,-39118.46,-38842.043,-39069.887,97.82524,2,182.11679,0.9938373,-39118.46,-38921.797,101.40834,2,273.8874,0.9387113,-39118.46,-39018.855,105.46255,2,343.9824,0.71649355,-39118.46,-39092.656,110.75804,2,328.6104,0.7896142,-39118.46,-39077.883
613,0,172.78599607597567,413.64743,0,567.0371,0.748531,-34747.844,-34575.082,-34716.367,401.4105,0,1112.8635,1.9041324e-06,-34747.844,-34747.844,426.47803,0,584.736,0.65285486,-34747.844,-34731.953,402.39847,0,550.70734,0.81963426,-34747.844,-34700.0,428.33774,0,529.73395,0.88669336,-34747.844,-34677.484
615,0,192.77993437287785,848.4975,0,993.0468,0.735632,-39144.266,-38951.523,-39115.508,853.4045,0,864.0049,0.9878046,-39144.266,-38978.18,854.7587,0,994.28046,0.7293447,-39144.266,-39116.65,862.6235,0,980.8816,0.7927803,-39144.266,-39103.625,838.2062,0,907.1381,0.9633494,-39144.266,-39023.836
630,0,180.200264108035,141.32555,2,288.5338,0.73547834,-41492.266,-41312.07,-41462.992,146.997,2,269.22235,0.820307,-41492.266,-41443.773,144.71626,2,315.30072,0.58297986,-41492.266,-41484.664,151.3881,2,277.40347,0.7872294,-41492.266,-41452.176,143.94437,2,284.45975,0.75532687,-41492.266,-41459.125
638,1,275.1673062180786,73.70135,3,286.75842,0.817281,-39706.742,-39431.574,-39659.113,77.270744,3,197.99956,0.97758883,-39706.742,-39563.0,69.277374,3,243.1621,0.93197286,-39706.742,-39611.793,79.38625,3,311.0087,0.7057663,-39706.742,-39682.727,78.14577,3,293.28885,0.7909081,-39706.742,-39665.81
648,0,199.7817977870798,168.87238,2,321.33206,0.74469304,-43614.816,-43415.035,-43583.797,172.11967,2,490.79663,0.035859816,-43614.816,-43619.4,175.71564,1,344.9439,0.6139088,-43614.816,-43603.74,177.24863,1,309.78043,0.79692787,-43614.816,-43572.418,171.68785,2,317.30118,0.7638794,-43614.816,-43579.918
649,1,176.69883337690123,804.6644,0,964.7576,0.7630416,-29654.223,-29477.584,-29620.396,818.4367,0,1124.8882,0.044656944,-29654.223,-29659.393,829.94305,0,970.5504,0.7342666,-29654.223,-29625.938,815.2137,0,993.90045,0.59887594,-29654.223,-29645.129,839.1932,0,1009.0267,0.50039864,-29654.223,-29654.191
665,0,273.44616562682904,27.92928,3,240.9513,0.8168345,-48612.12,-48338.68,-48564.5,26.89501,3,162.81564,0.97057474,-48612.12,-48479.703,25.655327,3,201.44841,0.9246381,-48612.12,-48521.69,32.41857,3,229.10275,0.8579892,-48612.12,-48551.938,30.544468,3,237.55649,0.8294976,-48612.12,-48560.953
703,0,184.62971741237192,246.73167,1,384.9699,0.71941113,-35580.81,-35396.19,-35554.55,239.92097,1,465.39764,0.24336383,-35580.81,-35591.5,246.80179,1,412.92023,0.55494565,-35580.81,-35576.062,254.24236,1,372.98862,0.7773634,-35580.81,-35543.12,249.21591,1,383.68793,0.72603106,-35580.81,-35553.38
710,0,173.27351004730087,349.47787,0,484.45306,0.7132321,-37624.11,-37450.855,-37598.97,360.5698,0,388.6722,0.96714705,-37624.11,-37497.387,350.29132,0,511.88232,0.5503928,-37624.11,-37619.805,351.3156,0,470.7689,0.7797912,-37624.11,-37585.953,335.5222,1,478.67856,0.7427265,-37624.11,-37593.64
746,0,169.52131793314717,310.4287,1,463.81607,0.7476251,-36255.844,-36086.348,-36224.438,312.10565,1,413.5735,0.91551554,-36255.844,-36171.387,303.58392,1,467.21826,0.73066765,-36255.844,-36227.633,306.8434,1,449.31012,0.8116123,-36255.844,-36209.98,315.60065,1,463.20724,0.7505586,-36255.844,-36223.855
750,1,289.94567738695036,38.94052,3,266.30493,0.82872623,-38410.062,-38120.117,-38359.223,35.257824,3,129.23276,0.99388206,-38410.062,-38212.86,33.25973,3,208.72014,0.95497155,-38410.062,-38296.49,32.551952,3,287.4236,0.73773843,-38410.062,-38380.383,36.939,3,271.6274,0.8084599,-38410.062,-38364.766
758,0,175.08212327426196,755.14355,0,884.0388,0.70323706,-36076.363,-35901.316,-36053.164,744.61414,0,1270.0282,9.308838e-05,-36076.363,-36076.395,743.57916,0,887.9647,0.68140393,-36076.363,-36056.562,742.24774,0,865.61646,0.79317516,-36076.363,-36035.59,722.6804,0,810.6638,0.9415359,-36076.363,-35976.22
768,0,186.42984189703904,248.92159,1,398.0117,0.7397108,-38550.65,-38364.234,-38520.684,265.30164,1,483.17792,0.24002072,-38550.65,-38561.367,240.04353,1,406.45764,0.69567513,-38550.65,-38528.34,231.10265,1,380.16718,0.81819206,-38550.65,-38502.902,252.11804,1,396.9183,0.74509186,-38550.65,-38519.652
810,1,242.6959013404545,20.316877,3,214.60988,0.79927963,-39322.766,-39080.07,-39279.723,20.305536,3,103.62042,0.9855676,-39322.766,-39160.305,24.475046,3,200.31976,0.8517206,-39322.766,-39264.73,22.008188,3,239.03587,0.6803261,-39322.766,-39302.75,19.056206,3,220.23192,0.7751437,-39322.766,-39285.387
812,0,183.5032636181658,211.34149,1,354.2774,0.72847843,-34531.324,-34347.83,-34503.434,202.9991,1,371.86847,0.6303081,-34531.324,-34518.28,213.35754,1,380.9391,0.57438946,-34531.324,-34524.65,218.22302,1,342.23874,0.7853572,-34531.324,-34491.8,202.86427,1,350.12543,0.7491295,-34531.324,-34499.53
816,0,191.85808312961012,108.676956,2,259.5743,0.74198323,-36464.496,-36272.645,-36434.0,108.94775,2,259.12784,0.74419326,-36464.496,-36433.574,113.42144,2,285.37497,0.5971122,-36464.496,-36455.36,111.63952,2,246.76393,0.79984176,-36464.496,-36421.37,105.966606,2,254.23138,0.7673743,-36464.496,-36428.855
818,1,211.37423937540424,225.67435,1,391.04688,0.76543325,-36264.22,-36052.855,-36229.125,223.94395,1,390.78027,0.7666683,-36264.22,-36228.863,221.17943,1,388.41876,0.7773822,-36264.22,-36226.53,231.7013,1,419.03036,0.61325806,-36264.22,-36253.266,221.76108,1,394.1811,0.7506086,-36264.22,-36232.16
