,s,eta_consumer,C0-P0_estimated_cost,C0-P0_risk_group,C0-P0_price,C0-P0_coverage,C0-P0_ce_outside,ce_no_insurance,C0-P0_welfare,C0-PA_estimated_cost,C0-PA_risk_group,C0-PA_price,C0-PA_coverage,C0-PA_ce_outside,C0-PA_welfare,C0-POB_estimated_cost,C0-POB_risk_group,C0-POB_price,C0-POB_coverage,C0-POB_ce_outside,C0-POB_welfare,C0-PDP_estimated_cost,C0-PDP_risk_group,C0-PDP_price,C0-PDP_coverage,C0-PDP_ce_outside,C0-PDP_welfare,C0-PAF_estimated_cost,C0-PAF_risk_group,C0-PAF_price,C0-PAF_coverage,C0-PAF_ce_outside,C0-PAF_welfare
8915,0,266.16274093494593,104.69507,2,319.25098,0.81844085,-48690.742,-48424.586,-48642.76,111.827805,2,315.86572,0.8310029,-48690.742,-48639.215,113.75418,2,285.69315,0.91427463,-48690.742,-48606.465,108.40706,2,307.19794,0.85997957,-48690.742,-48629.965,116.54821,2,317.00485,0.826854,-48690.742,-48640.414
8916,0,329.72460294891414,44.0249,3,311.62405,0.85452914,-43436.582,-43106.863,-43377.727,57.51962,3,208.78052,0.98798037,-43436.582,-43266.934,42.86552,3,217.9057,0.98486155,-43436.582,-43276.453,50.540665,3,300.2587,0.88719755,-43436.582,-43365.4,48.495865,3,308.50537,0.8642148,-43436.582,-43374.363
8921,1,169.43123674130408,148.20166,2,288.65576,0.7234557,-30555.828,-30386.41,-30528.822,144.81361,2,622.9705,0.0004560567,-30555.828,-30555.965,149.19202,2,319.58066,0.5411943,-30555.828,-30552.361,160.81807,2,584.1755,0.0012498666,-30555.828,-30556.152,151.77695,2,297.02478,0.6783359,-30555.828,-30536.188
8934,0,362.0566291823169,68.7067,3,353.47458,0.8636257,-37319.195,-36957.14,-37257.344,62.647297,3,266.17203,0.98354816,-37319.195,-37162.887,66.054634,3,240.08035,0.9915131,-37319.195,-37135.75,65.70942,3,340.87134,0.8975256,-37319.195,-37243.6,64.43836,3,349.1733,0.87614644,-37319.195,-37252.676
8936,1,165.88160780332058,245.13048,1,386.63705,0.7263885,-30654.264,-30488.398,-30626.816,246.13205,1,584.658,0.015450267,-30654.264,-30656.74,252.14314,1,418.0279,0.5411979,-30654.264,-30650.805,248.8627,1,674.50916,0.0015108018,-30654.264,-30654.64,267.67297,1,396.3334,0.6739153,-30654.264,-30635.336
8940,0,180.86806544325037,282.73108,1,418.39868,0.71375906,-42957.742,-42776.883,-42932.43,257.1554,1,419.09946,0.71009654,-42957.742,-42933.05,281.88733,1,446.47083,0.54752815,-42957.742,-42953.69,267.78265,1,400.49872,0.7981341,-42957.742,-42915.145,277.10107,1,414.85574,0.7320504,-42957.742,-42929.18
8946,0,177.01382596487815,201.88551,1,350.4453,0.73821986,-42894.617,-42717.61,-42864.867,221.02548,1,441.89728,0.21127218,-42894.617,-42905.426,218.97917,1,386.3148,0.52847284,-42894.617,-42892.273,217.72781,1,340.74176,0.7835021,-42894.617,-42855.438,228.67558,1,355.7421,0.7110582,-42894.617,-42869.723
8947,0,232.87733747571718,154.95116,2,328.07022,0.77505445,-47653.297,-47420.42,-47615.977,146.085,2,399.40073,0.35522908,-47653.297,-47661.53,148.22571,2,318.65662,0.81437594,-47653.297,-47606.414,156.14536,2,315.1077,0.82774997,-47653.297,-47602.71,144.83388,2,321.39203,0.8035275,-47653.297,-47609.24
8948,1,186.1587773814051,117.47549,2,266.73682,0.7394744,-32122.068,-31935.916,-32092.09,116.72516,2,292.86548,0.59171486,-32122.068,-32113.541,111.567856,2,283.60248,0.64778626,-32122.068,-32106.734,105.01898,2,290.40613,0.6069011,-32122.068,-32111.828,119.693184,2,274.56458,0.6988674,-32122.068,-32099.207
8949,0,193.82097412754382,369.1707,0,523.4296,0.7489662,-42245.797,-42051.99,-42214.11,396.40598,0,544.78204,0.6321906,-42245.797,-42232.547,367.28198,0,528.1297,0.72547865,-42245.797,-42218.508,377.61743,0,511.68695,0.80159175,-42245.797,-42202.47,374.14713,0,488.91,0.8791267,-42245.797,-42178.25
8955,1,221.35733519706358,110.25794,2,282.85153,0.77447677,-38509.34,-38287.992,-38472.17,114.23231,2,248.33798,0.89282554,-38509.34,-38435.684,110.1764,2,282.27188,0.77706146,-38509.34,-38471.598,121.97868,2,311.99414,0.61884904,-38509.34,-38497.68,118.62039,2,291.6215,0.7326865,-38509.34,-38480.605
8958,0,185.05644663280185,637.72687,0,790.9648,0.74989116,-34971.78,-34786.75,-34940.246,634.6812,0,558.2687,0.99921525,-34971.78,-34697.246,620.95703,0,770.70703,0.83567274,-34971.78,-34919.71,643.7929,0,778.2726,0.8067637,-34971.78,-34927.61,620.11285,0,728.992,0.9378213,-34971.78,-34874.223
8967,0,233.74548330767902,67.8714,3,247.69753,0.783087,-47158.35,-46924.61,-47119.16,64.045494,3,245.64912,0.7918721,-47158.35,-47117.098,54.143597,3,228.69038,0.8545817,-47158.35,-47099.336,60.611954,3,233.20644,0.839602,-47158.35,-47104.164,60.17404,3,242.09383,0.8065004,-47158.35,-47113.47
8975,0,246.5727092275173,117.891266,2,319.64926,0.80691594,-48845.387,-48598.812,-48800.457,118.01411,2,393.0304,0.38818216,-48845.387,-48852.258,121.573,2,293.16992,0.8918386,-48845.387,-48772.113,123.958565,2,307.94458,0.84949625,-48845.387,-48788.137,117.34634,2,315.17178,0.82420397,-48845.387,-48795.797
8999,0,298.2543244416414,28.082956,3,264.22296,0.83487743,-47070.04,-46771.78,-47017.312,27.798313,3,158.61452,0.98695153,-47070.04,-46903.484,25.954645,3,201.73463,0.9616575,-47070.04,-46949.215,31.946028,3,252.3764,0.87262774,-47070.04,-47004.594,31.28977,3,260.94208,0.84615314,-47070.04,-47013.83
9008,0,245.01843747963264,531.55634,0,748.2539,0.82179284,-49277.297,-49032.293,-49228.812,535.0123,0,798.84607,0.5541929,-49277.297,-49272.64,535.541,0,689.0278,0.9552611,-49277.297,-49164.367,531.8539,0,735.10455,0.8663425,-49277.297,-49214.797,548.44183,0,692.37756,0.9514146,-49277.297,-49168.008
9035,1,166.57980994965234,327.38828,1,458.01566,0.704124,-31826.234,-31659.68,-31802.652,314.91187,1,530.2346,0.26820013,-31826.234,-31836.621,320.77335,1,483.6557,0.5506762,-31826.234,-31821.91,329.03775,1,765.10974,0.0008102314,-31826.234,-31826.457,320.979,1,460.57834,0.6901253,-31826.234,-31804.89
9049,0,287.0479498175037,272.36078,1,506.60583,0.8343646,-48117.203,-47830.16,-48064.89,276.73114,1,480.84836,0.9072556,-48117.203,-48036.953,282.72223,1,447.26923,0.95871854,-48117.203,-48000.207,274.7919,1,494.27316,0.87376356,-48117.203,-48051.65,282.1146,1,506.5131,0.8346979,-48117.203,-48064.793
9087,0,224.13912075654065,49.660713,3,229.68613,0.78326774,-46140.87,-45916.734,-46101.63,47.830948,3,231.39613,0.7757433,-46140.87,-46103.33,47.07644,3,221.9324,0.8151069,-46140.87,-46093.72,53.25505,3,217.41737,0.831913,-46140.87,-46088.984,50.881016,3,225.93333,0.79915595,-46140.87,-46097.83
9104,0,240.98590576483758,111.07923,2,298.4766,0.7920471,-47986.42,-47745.44,-47945.17,106.28119,2,302.7262,0.7735404,-47986.42,-47949.414,106.846214,2,279.0874,0.8623328,-47986.42,-47924.785,105.69202,2,284.4537,0.84516877,-47986.42,-47930.547,103.56603,2,292.5616,0.8159506,-47986.42,-47939.094
