,model,mean_price_ratio,profit,coverage0,coverage1,mean_price0,mean_price1,mean_est_mc0,mean_est_mc1,welfare,welfare0,welfare1,welfare_no_insurance,welfare0_no_insurance,welfare1_no_insurance
0,C0-P0,1.2700641,261564.02,0.75915116,0.76094854,475.40356,374.3124,298.8104,202.93146,-39309.023,-41643.27,-34209.36,-39131.0,-41465.18,-34031.477
1,C0-PA,1.2500477,151050.84,0.6533155,0.6689649,462.86115,370.27286,299.31287,202.31877,-39271.758,-41605.098,-34174.062,-39131.0,-41465.18,-34031.477
2,C0-POB,1.2470759,242007.84,0.74084866,0.71906817,463.06586,371.3193,299.2416,203.29768,-39301.07,-41633.76,-34204.82,-39131.0,-41465.18,-34031.477
3,C0-PDP,1.0003626,242585.55,0.820341,0.5108151,455.05328,454.88828,299.68512,202.69933,-39306.055,-41628.41,-34232.387,-39131.0,-41465.18,-34031.477
4,C0-PAF,1.170088,246358.27,0.82109404,0.6974142,451.7082,386.0448,299.40552,203.2827,-39297.18,-41621.633,-34218.92,-39131.0,-41465.18,-34031.477
